ball_id, ball_group, x_position, y_position, radius
247, None, 0.000410043, -0.0211772, 0.000744534
248, None, -0.00350577, 0.0106976, 0.000686619
249, None, 0.0170049, -0.0274738, 0.00056453
250, None, -0.00858033, 0.0355836, 0.000518414
251, None, -3.12593e-05, 0.00539745, 0.000670332
252, None, -0.0133347, 0.0104657, 0.00069707
253, None, -0.00319134, 0.0291894, 0.000505208
254, None, -0.0092636, -0.0174383, 0.000676596
255, None, 0.013817, -0.0482758, 0.000642792
256, None, -0.00427994, 0.0443373, 0.000633982
257, None, -0.0113714, 0.00949124, 0.000571969
258, None, -0.00260237, 0.0151933, 0.000656999
259, None, -0.016059, -0.0319957, 0.000518508
260, top_grip, -0.0211925, 0.0494386, 0.000570702
261, None, 0.0225111, 0.0278602, 0.000530433
262, None, 0.00920384, -0.0487668, 0.000726073
